"intersections","Eplet_Count","Eplets"
"Explex_Mix_PRA_SAB",61,"107W, 127K, 131S, 138K, 138MI, 143S, 144K, 144KR, 144TKH, 145KHA, 145RT, 149TAH, 150AAH, 156DA, 158T, 161D, 163EW, 163LS/G, 163LW, 163R, 163RG, 163RW, 166DG, 177KT, 180E, 193PL, 193PV, 219W, 21H, 248M, 253Q, 267QE, 41T, 44KM, 44RMA, 44RT, 45KE, 62GE, 62GK, 62QE, 62RR, 65QIA, 65QKR, 65RNA, 69AA, 69TNT, 70IAQ, 71SA, 71TTS, 73AN, 73TVS, 76ANT, 76ESN, 76VRN, 79GT, 80I, 80K, 80N, 80TLR, 82LR, 90D"
"Mix_PRA_SAB",11,"144QL, 151AHA, 173K, 56R, 62EE, 62GRN, 62LQ, 65GK, 71ATD, 76EG, 76ESI"
