"intersections","Eplet_Count","Eplets"
"Explex_Mix_PRA_SAB",207,"104A, 104AK, 108P, 112H, 116I, 11G, 11L, 11STS, 120N, 120S, 125SQ, 129H, 129QS, 130R, 135D, 13SE, 140A, 140AV, 140TV, 149H, 149Q, 160A, 160AD, 167H, 167R, 16H, 16Y, 175E, 178L, 180V, 180VTP, 181T, 182N, 182S, 185I, 185T, 189R, 189S, 23R, 25FT, 25R, 25YT, 26F, 26Y, 2D, 31F, 31FH, 31FY, 32H, 32Y, 32YN, 33E, 33EA, 33EYA, 33N, 35F, 35FA, 35FV, 35LV, 35YA, 36A, 36V, 37F, 37FL, 37FV, 37N, 37S, 37Y, 37YA, 38A, 38L, 38V, 3S, 40E, 40ERV, 40F, 45EV, 45G, 45GV, 46VY, 47F, 47KHL, 47Y, 47YR, 4R, 51R, 52PQ, 52SK, 55A, 55EAE, 55PP, 55PPD, 55R, 55RPD, 56A, 56E, 56EE, 56P, 56PD, 57A, 57DA, 57E, 57S, 58A, 58AY, 60Y, 61FT, 65I, 65IE, 65IK, 65L, 65LK, 66ER, 66EV, 66IL, 67F, 67I, 67LQ, 67VG, 67VT, 69E, 69K, 70D, 70DA, 70DR, 70DRA, 70Q, 70QA, 70QK, 70QQ, 70QRA, 70QT, 70R, 70RE, 70RT, 71E, 71K, 71R, 73A, 73G, 73GQ, 74A, 74E, 74EL, 74L, 74R, 74S, 75I, 75IL, 75V, 76I, 76L, 76M, 77N, 77R, 77TY, 78Y, 84DEAV, 84GGPM, 84QL, 84VGPM, 85GPM, 85V, 85VV, 86A, 86G, 86V, 87Y, 8L, 8V, 96H, 96HK, 96K, 96R, 96Y, 98E, 98K, 98KS, 98Q, 9H, 9YL, p76V, p9Y, q30H, q37YV, q77T, q9Y, qp77RV, r28D, r30H, r37YV, r57D, r57V, r77T, rp37FV, rp67IE, rp67LK, rp67LR, rq140TV, rq37YV, rq57S, rq70RK/R, rq74AV, rq75VT, rqp37YA, rqp57A, rqp57D"
"Mix_PRA_SAB",60,"108T, 112Y, 125G, 130A, 133RS, 135G, 13FE, 13GM, 142M, 160D, 160S, 178M, 180VMP, 181M, 25Q, 28H, 30C, 30D, 30G, 30RV, 31I, 37L, 40GR, 48Q, 4Q, 52LL, 55PPA, 56L, 56PA, 56PS, 57DE, 66D, 66DR, 66IT, 69R, 6C, 70GT, 71A, 75S, 85A, 87F, 8VG, 96EV, 96Q, 96QN, 98ES, 98KN, 9F, p57D, q26L, q57V, q76V, qp67IE, r26L, rp58E, rp58EE, rq26Y, rq57V, rq77TV, rqp67IK"
"Explex_Mix_SAB",15,"111R, 11A, 11M, 127L, 127P, 160F, 160V, 190T, 28E, 31M, 31Q, 50Q, 50R, 66S, 83A"
"SAB",5,"190A, 23L, 3P, 65LE, p28D"
"Mix_PRA",1,"2G"
"PRA_SAB",1,"130Q"
