"intersections","Eplet_Count","Eplets"
"Explex_Mix_PRA_SAB",69,"104A, 116I, 11STS, 120S, 125SQ, 129H, 129QS, 130R, 135D, 149H, 167R, 16Y, 182N, 182S, 185I, 25R, 2D, 31FY, 35FV, 37YV, 40E, 40ERV, 45EV, 45G, 45GV, 46VY, 47F, 47KHL, 4R, 51R, 52PQ, 52SK, 55PP, 55R, 56A, 56E, 56EE, 57S, 57V, 61FT, 66ER, 67LQ, 67VG, 69E, 70D, 70DA, 70QA, 70QT, 70R, 73A, 73G, 74EL, 74R, 74S, 75I, 77N, 77R, 77T, 84DEAV, 84QL, 85GPM, 86A, 87Y, 96H, 96HK, 96K, 96Y, 98E, 98Q"
"Mix_PRA_SAB",23,"108T, 125G, 130A, 13FE, 142M, 181M, 25Q, 30C, 30RV, 37L, 40GR, 48Q, 4Q, 52LL, 56L, 57D, 57DE, 66DR, 70GT, 76V, 87F, 96EV, 98ES"
"Explex_Mix_SAB",2,"50Q, 50R"
"SAB",2,"23L, 3P"
