"intersections","Eplet_Count","Eplets"
"Explex_Mix_PRA_SAB",209,"103L, 105S, 107W, 109F, 113H, 113HD, 113HN, 113YD, 113YN, 114H, 114Q, 114R, 116D, 116F, 116L, 116S, 116Y, 11AV, 127K, 12M, 131S, 131S+163T, 138K, 138MI, 138MI+79GT, 143S, 144K, 144KR, 144KR+151H, 144TKH, 145KHA, 145RT, 147L, 149AH, 149TAH, 150AAH, 150AH, 151AHE, 151AHV, 151ARV, 151H, 152A, 152E, 152HA, 152RA, 152RE, 152T, 152V, 156DA, 156L, 156QA, 156R, 156RA, 156WA, 158T, 161D, 162GLS, 163E, 163EW, 163EW+66I, 163EW+73TE, 163L, 163LE, 163LS/G, 163LW, 163LW+65QIT, 163R, 163RG, 163RW, 163T, 166DG, 166ES, 16S, 177DK, 177DT, 177KT, 17S, 180E, 184A, 184H, 184R, 193AV, 193LV, 193PI, 193PL, 193PV, 194V, 1C, 207S, 219W, 21H, 245AS, 248M, 24S, 24T, 253Q, 267QE, 270C, 275EL, 275G, 275K, 32L, 35Q, 41T, 43Q+62GE, 44KM, 44RM, 44RMA, 44RME, 44RT, 44RT+69TNT, 45EE, 45KE, 62GE, 62GK, 62QE, 62QE+56G, 62RN, 62RR, 63NI, 65QIA, 65QIA+76ESN, 65QKR, 65QKR+76VS, 65RA, 65RK, 65RNA, 65RNA+80I, 66I, 66IC, 66IF, 66IS, 66IY, 66K, 66KA, 66KH, 66N, 66NH, 66NM, 66NV, 69AA, 69AA+65QI, 69AA+76E, 69RA, 69RT, 69TNT, 69TNT+80N, 70IAQ, 71HS, 71KA, 71QS, 71SA, 71TN, 71TTS, 73AN, 73AS, 73TVS, 74Y, 76ANT, 76EN, 76ES, 76ESN, 76ET, 76VDT, 76VRN, 76VS, 77D, 77N, 77NGT, 77S, 77SRN, 79GT, 79GT+90D, 80I, 80I+69TNT, 80I+90A, 80K, 80K+14R, 80N, 80T, 80TA, 80TL, 80TLR, 81ALR, 82LR, 82LR+138T, 82LR+144QR, 82LR+145R, 82LR+145RA, 82LR+90A, 90D, 94I, 95I, 95L, 95V, 95W, 97I, 97N, 97R, 97S, 97T, 97W, 99F, 99Y, 9D, 9F, 9H, 9S, 9Y"
"Mix_PRA_SAB",38,"103M, 143S+76ESN, 144KR+127K, 144QL, 14W, 151AHA, 152RR, 152W, 162DLS, 163LG, 170RH, 173K, 186R, 199V, 19K, 211T, 245TA, 245V, 30G, 56E, 56R, 62EE, 62GRN, 62LQ, 65GK, 66IF+163TEW, 71ATD, 71TD, 73ID, 76ED, 76EG, 76ESI, 82LR+138M, 91R, 97M, 97V, 99S, 9T"
"Explex_Mix_PRA",1,"95F"
"Explex_PRA",1,"43R"
"NO_SPI",1,"59H"
"PRA_SAB",1,"145HT"
"SAB",1,"102H"
